[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
501     | 0.4487    | 0.4498    |
502     | 0.4487    | 0.4498    |
503     | 0.4487    | 0.4498    |
504     | 0.4488    | 0.45      |
505     | 0.4489    | 0.4499    |
506     | 0.4488    | 0.45      |
507     | 0.4488    | 0.4499    |
508     | 0.4488    | 0.4499    |
509     | 0.4488    | 0.4498    |
510     | 0.4488    | 0.4499    |
511     | 0.4488    | 0.4498    |
512     | 0.4488    | 0.4497    |
513     | 0.4489    | 0.4496    |
514     | 0.449     | 0.4496    |
515     | 0.4491    | 0.4497    |
516     | 0.4491    | 0.4497    |
517     | 0.4492    | 0.4498    |
518     | 0.4492    | 0.4498    |
519     | 0.4493    | 0.4498    |
520     | 0.4493    | 0.4497    |
521     | 0.4494    | 0.4494    |
522     | 0.4493    | 0.4496    |
523     | 0.4494    | 0.4495    |
524     | 0.4494    | 0.4493    |
525     | 0.4492    | 0.4496    |
526     | 0.4492    | 0.4494    |
527     | 0.4493    | 0.4496    |
528     | 0.4494    | 0.45      |
529     | 0.4494    | 0.4499    |
530     | 0.4494    | 0.4499    |
531     | 0.4493    | 0.4501    |
532     | 0.4493    | 0.4499    |
533     | 0.4493    | 0.4499    |
534     | 0.4493    | 0.45      |
535     | 0.4493    | 0.45      |
536     | 0.4494    | 0.4501    |
537     | 0.4496    | 0.4501    |
538     | 0.4496    | 0.4502    |
539     | 0.4495    | 0.4503    |
540     | 0.4495    | 0.4503    |
541     | 0.4496    | 0.4503    |
542     | 0.4496    | 0.4504    |
543     | 0.4496    | 0.4504    |
544     | 0.4497    | 0.4505    |
545     | 0.4497    | 0.4505    |
546     | 0.4497    | 0.4506    |
547     | 0.4497    | 0.4507    |
548     | 0.4499    | 0.4507    |
549     | 0.4501    | 0.4506    |
550     | 0.4501    | 0.4506    |
551     | 0.4501    | 0.4506    |
552     | 0.4501    | 0.4506    |
553     | 0.4501    | 0.4504    |
554     | 0.45      | 0.4505    |
555     | 0.4501    | 0.4504    |
556     | 0.4502    | 0.4509    |
557     | 0.4502    | 0.4508    |
558     | 0.4502    | 0.4508    |
559     | 0.4504    | 0.4506    |
560     | 0.4504    | 0.4504    |
561     | 0.4504    | 0.4504    |
562     | 0.4505    | 0.4503    |
563     | 0.4503    | 0.4503    |
564     | 0.4503    | 0.4505    |
565     | 0.4503    | 0.4507    |
