[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
324     | 0.4547    | 0.4523    |
325     | 0.4548    | 0.4521    |
326     | 0.4547    | 0.4522    |
327     | 0.4549    | 0.4521    |
328     | 0.4549    | 0.4524    |
329     | 0.4548    | 0.4521    |
330     | 0.455     | 0.4525    |
331     | 0.455     | 0.4524    |
332     | 0.4551    | 0.4524    |
333     | 0.4553    | 0.4524    |
334     | 0.4554    | 0.4525    |
335     | 0.4552    | 0.4525    |
336     | 0.4553    | 0.4528    |
337     | 0.4557    | 0.4526    |
338     | 0.4558    | 0.4525    |
339     | 0.4558    | 0.4525    |
340     | 0.4558    | 0.4525    |
341     | 0.4558    | 0.4526    |
342     | 0.4559    | 0.4526    |
343     | 0.4559    | 0.4525    |
344     | 0.4559    | 0.4524    |
345     | 0.4559    | 0.4524    |
346     | 0.4561    | 0.4525    |
347     | 0.4563    | 0.4528    |
348     | 0.4565    | 0.4529    |
349     | 0.4565    | 0.4529    |
350     | 0.4565    | 0.453     |
351     | 0.4565    | 0.4531    |
352     | 0.4566    | 0.4531    |
353     | 0.4566    | 0.4531    |
354     | 0.4567    | 0.4532    |
355     | 0.4566    | 0.4533    |
356     | 0.4567    | 0.4532    |
357     | 0.4567    | 0.4531    |
358     | 0.4567    | 0.4531    |
359     | 0.4567    | 0.4532    |
360     | 0.457     | 0.4533    |
361     | 0.4569    | 0.4533    |
362     | 0.4569    | 0.4533    |
363     | 0.4569    | 0.4533    |
364     | 0.457     | 0.4532    |
365     | 0.4572    | 0.4533    |
366     | 0.4571    | 0.4535    |
367     | 0.457     | 0.4536    |
368     | 0.4573    | 0.4536    |
369     | 0.4574    | 0.4539    |
370     | 0.4575    | 0.4539    |
371     | 0.4574    | 0.454     |
372     | 0.4576    | 0.454     |
373     | 0.4575    | 0.454     |
374     | 0.4578    | 0.4538    |
375     | 0.4578    | 0.4538    |
376     | 0.4578    | 0.454     |
377     | 0.4578    | 0.454     |
378     | 0.4578    | 0.454     |
379     | 0.4578    | 0.4538    |
380     | 0.4578    | 0.454     |
381     | 0.4578    | 0.4539    |
382     | 0.4579    | 0.454     |
383     | 0.4581    | 0.4541    |
384     | 0.4585    | 0.4544    |
385     | 0.4584    | 0.454     |
386     | 0.4584    | 0.454     |
387     | 0.4584    | 0.4542    |
388     | 0.4587    | 0.4543    |
389     | 0.4587    | 0.4544    |
390     | 0.4587    | 0.4542    |
391     | 0.4589    | 0.4542    |
392     | 0.4589    | 0.4543    |
393     | 0.4589    | 0.4542    |
394     | 0.4588    | 0.4542    |
395     | 0.4588    | 0.4544    |
396     | 0.4589    | 0.4544    |
397     | 0.459     | 0.4545    |
398     | 0.459     | 0.4543    |
399     | 0.459     | 0.4542    |
400     | 0.4591    | 0.4542    |
401     | 0.4589    | 0.4541    |
402     | 0.4591    | 0.4542    |
403     | 0.4593    | 0.4543    |
404     | 0.4592    | 0.4542    |
405     | 0.4593    | 0.4542    |
406     | 0.4593    | 0.4542    |
407     | 0.4594    | 0.4542    |
408     | 0.4594    | 0.4541    |
409     | 0.4594    | 0.4543    |
410     | 0.4594    | 0.4543    |
411     | 0.4595    | 0.4543    |
412     | 0.4595    | 0.4544    |
413     | 0.4595    | 0.4544    |
414     | 0.4595    | 0.4545    |
415     | 0.4595    | 0.4544    |
416     | 0.4595    | 0.4544    |
417     | 0.4596    | 0.4546    |
418     | 0.4596    | 0.4547    |
419     | 0.4599    | 0.4543    |
420     | 0.46      | 0.4542    |
421     | 0.46      | 0.4543    |
422     | 0.46      | 0.4543    |
423     | 0.4601    | 0.4542    |
424     | 0.4601    | 0.4542    |
425     | 0.4601    | 0.4542    |
426     | 0.46      | 0.4543    |
427     | 0.4601    | 0.4541    |
428     | 0.4602    | 0.4542    |
429     | 0.4602    | 0.4542    |
430     | 0.4602    | 0.4542    |
431     | 0.4603    | 0.4543    |
432     | 0.4603    | 0.4542    |
433     | 0.4602    | 0.4544    |
434     | 0.4602    | 0.4544    |
435     | 0.4602    | 0.4543    |
436     | 0.4602    | 0.4545    |
437     | 0.4602    | 0.4545    |
438     | 0.4603    | 0.4545    |
439     | 0.4603    | 0.4544    |
440     | 0.4602    | 0.4543    |
441     | 0.4603    | 0.4542    |
442     | 0.4603    | 0.4542    |
443     | 0.4603    | 0.4541    |
444     | 0.4603    | 0.4542    |
445     | 0.4604    | 0.4544    |
446     | 0.4604    | 0.4543    |
447     | 0.4604    | 0.4544    |
448     | 0.4603    | 0.4543    |
449     | 0.4603    | 0.4542    |
450     | 0.4603    | 0.4542    |
451     | 0.4603    | 0.4544    |
452     | 0.4604    | 0.4543    |
453     | 0.4606    | 0.4547    |
454     | 0.4605    | 0.4546    |
455     | 0.4605    | 0.4548    |
456     | 0.4605    | 0.4548    |
