[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost3.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
234     | 131      | 52428.2   | 0.0019    | 0.3425    | 0.3311    |
235     | 132      | 26.3      | 0.0019    | 0.3424    | 0.331     |
236     | 115      | -38.45    | 0.0018    | 0.3424    | 0.331     |
237     | 125      | -35.1055  | 0.0018    | 0.3424    | 0.331     |
238     | 108      | 28.4579   | 0.0018    | 0.3424    | 0.3311    |
239     | 123      | -37.2379  | 0.0018    | 0.3424    | 0.3312    |
240     | 115      | -38.45    | 0.0018    | 0.3424    | 0.3312    |
241     | 115      | -38.45    | 0.0018    | 0.3424    | 0.3312    |
242     | 115      | -38.45    | 0.0018    | 0.3424    | 0.3312    |
243     | 115      | -38.45    | 0.0018    | 0.3425    | 0.3312    |
244     | 129      | 33.2      | 0.0018    | 0.3424    | 0.3312    |
245     | 123      | -37.2379  | 0.0018    | 0.3423    | 0.3313    |
246     | 115      | -38.45    | 0.0018    | 0.3423    | 0.3313    |
247     | 64       | 0.2471    | 0.0018    | 0.3424    | 0.3315    |
248     | 109      | 21.3044   | 0.0018    | 0.3425    | 0.3314    |
249     | 115      | -38.45    | 0.0018    | 0.3425    | 0.3314    |
250     | 115      | -38.45    | 0.0018    | 0.3425    | 0.3314    |
251     | 123      | -37.2379  | 0.0018    | 0.3425    | 0.3315    |
252     | 115      | -38.45    | 0.0018    | 0.3425    | 0.3315    |
253     | 115      | -19.225   | 0.0017    | 0.3425    | 0.3315    |
254     | 130      | 6643.5    | 0.0018    | 0.3426    | 0.3317    |
255     | 115      | -38.45    | 0.0017    | 0.3426    | 0.3317    |
256     | 115      | -38.45    | 0.0017    | 0.3426    | 0.3317    |
257     | 108      | 28.4579   | 0.0017    | 0.3427    | 0.3318    |
258     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3318    |
259     | 123      | -37.2379  | 0.0017    | 0.3427    | 0.3318    |
260     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3318    |
261     | 125      | -35.1055  | 0.0017    | 0.3427    | 0.3318    |
262     | 129      | 33.2      | 0.0017    | 0.3426    | 0.3318    |
263     | 64       | 0.2471    | 0.0017    | 0.3427    | 0.332     |
264     | 115      | -38.45    | 0.0017    | 0.3427    | 0.332     |
265     | 109      | 21.3044   | 0.0017    | 0.3427    | 0.3321    |
266     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3321    |
267     | 123      | -37.2379  | 0.0017    | 0.3427    | 0.3322    |
268     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3322    |
269     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3322    |
270     | 116      | -18.5667  | 0.0017    | 0.3426    | 0.3321    |
271     | 55       | 0.0801    | 0.0017    | 0.3426    | 0.3318    |
272     | 115      | -38.45    | 0.0017    | 0.3426    | 0.3318    |
273     | 123      | -37.2379  | 0.0017    | 0.3427    | 0.3319    |
274     | 115      | -38.45    | 0.0017    | 0.3427    | 0.3319    |
275     | 115      | -38.45    | 0.0016    | 0.3427    | 0.3319    |
276     | 115      | -38.45    | 0.0016    | 0.3427    | 0.3319    |
277     | 108      | 28.4579   | 0.0016    | 0.3427    | 0.3318    |
278     | 129      | 33.2      | 0.0016    | 0.3426    | 0.3317    |
279     | 115      | -38.45    | 0.0016    | 0.3427    | 0.3317    |
280     | 64       | 0.2471    | 0.0016    | 0.3427    | 0.3318    |
281     | 123      | -37.2379  | 0.0016    | 0.3428    | 0.3318    |
282     | 107      | 14.7495   | 0.0016    | 0.3428    | 0.332     |
283     | 115      | -38.45    | 0.0016    | 0.3428    | 0.332     |
284     | 130      | 58991.5   | 0.0016    | 0.3429    | 0.3325    |
285     | 125      | -35.1055  | 0.0016    | 0.343     | 0.3325    |
286     | 109      | 21.3044   | 0.0016    | 0.343     | 0.3325    |
287     | 115      | -38.45    | 0.0016    | 0.343     | 0.3325    |
288     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3325    |
289     | 123      | -37.2379  | 0.0016    | 0.3431    | 0.3325    |
290     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3325    |
291     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3326    |
292     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3326    |
293     | 123      | -37.2379  | 0.0016    | 0.3431    | 0.3326    |
294     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3326    |
295     | 129      | 33.2      | 0.0016    | 0.3431    | 0.3325    |
296     | 115      | -38.45    | 0.0016    | 0.3431    | 0.3325    |
297     | 64       | 0.2471    | 0.0015    | 0.3434    | 0.3327    |
298     | 108      | 28.4579   | 0.0015    | 0.3434    | 0.3327    |
299     | 115      | -38.45    | 0.0015    | 0.3434    | 0.3327    |
300     | 125      | -35.1055  | 0.0015    | 0.3434    | 0.3327    |
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3434
NDCG@10 on validation data: 0.3327
---------------------------------
NDCG@10 on test data: 0.3328

Model saved to: mymodel-rankboost3.txt
