[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
316     | 0.4593    | 0.4399    |
317     | 0.4594    | 0.4399    |
318     | 0.4593    | 0.4399    |
319     | 0.4597    | 0.4403    |
320     | 0.4598    | 0.4404    |
321     | 0.4597    | 0.4404    |
322     | 0.4597    | 0.4402    |
323     | 0.4599    | 0.4401    |
324     | 0.4601    | 0.4406    |
325     | 0.4602    | 0.4408    |
326     | 0.4601    | 0.441     |
327     | 0.4601    | 0.4407    |
328     | 0.46      | 0.4405    |
329     | 0.4601    | 0.4405    |
330     | 0.4602    | 0.4406    |
331     | 0.4603    | 0.4407    |
332     | 0.4604    | 0.4409    |
333     | 0.4604    | 0.4409    |
334     | 0.4604    | 0.4406    |
335     | 0.4604    | 0.4406    |
336     | 0.4605    | 0.4408    |
337     | 0.4606    | 0.4408    |
338     | 0.4605    | 0.4408    |
339     | 0.4605    | 0.4407    |
340     | 0.4605    | 0.4407    |
341     | 0.4607    | 0.4406    |
342     | 0.4607    | 0.441     |
343     | 0.4608    | 0.441     |
344     | 0.4608    | 0.441     |
345     | 0.4608    | 0.441     |
346     | 0.4609    | 0.441     |
347     | 0.4608    | 0.441     |
348     | 0.4609    | 0.4409    |
349     | 0.4609    | 0.441     |
350     | 0.461     | 0.4411    |
351     | 0.4611    | 0.4412    |
352     | 0.4612    | 0.4414    |
353     | 0.4612    | 0.4414    |
354     | 0.4614    | 0.4416    |
355     | 0.4614    | 0.4415    |
356     | 0.4615    | 0.4415    |
357     | 0.4615    | 0.4415    |
358     | 0.4615    | 0.4415    |
359     | 0.4615    | 0.4415    |
360     | 0.4615    | 0.4415    |
