[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
240     | 115      | -32.0689  | 0.002     | 0.3394    | 0.3372    |
241     | 117      | -13.8204  | 0.002     | 0.3395    | 0.3372    |
242     | 129      | 35.6      | 0.002     | 0.3395    | 0.3371    |
243     | 3        | 3.0       | 0.002     | 0.3396    | 0.3372    |
244     | 80       | 219.3287  | 0.002     | 0.3395    | 0.3371    |
245     | 59       | 0.24      | 0.002     | 0.3397    | 0.3371    |
246     | 115      | -32.0689  | 0.002     | 0.3397    | 0.3371    |
247     | 107      | 19.5228   | 0.002     | 0.3396    | 0.3373    |
248     | 110      | 44.6966   | 0.002     | 0.3396    | 0.3373    |
249     | 115      | -32.0689  | 0.0019    | 0.3396    | 0.3373    |
250     | 117      | -13.8204  | 0.0019    | 0.3396    | 0.3373    |
251     | 3        | 3.0       | 0.0019    | 0.3396    | 0.3374    |
252     | 125      | -32.6877  | 0.0019    | 0.3396    | 0.3374    |
253     | 110      | 44.6966   | 0.0019    | 0.3396    | 0.3374    |
254     | 80       | 219.3287  | 0.0019    | 0.3396    | 0.3374    |
255     | 113      | -29.3383  | 0.0019    | 0.3396    | 0.3374    |
256     | 117      | -13.8204  | 0.0019    | 0.3396    | 0.3374    |
257     | 129      | 35.6      | 0.0019    | 0.3398    | 0.3373    |
258     | 115      | -32.0689  | 0.0019    | 0.3398    | 0.3373    |
259     | 107      | 19.5228   | 0.0019    | 0.3398    | 0.3373    |
260     | 3        | 3.0       | 0.0019    | 0.3398    | 0.3373    |
261     | 110      | 44.6966   | 0.0019    | 0.3398    | 0.3373    |
262     | 115      | -32.0689  | 0.0019    | 0.3398    | 0.3373    |
263     | 59       | 0.24      | 0.0019    | 0.3398    | 0.3375    |
264     | 117      | -13.8204  | 0.0019    | 0.3398    | 0.3375    |
265     | 115      | -32.0689  | 0.0018    | 0.3398    | 0.3375    |
266     | 80       | 219.3287  | 0.0018    | 0.3398    | 0.3376    |
267     | 110      | 44.6966   | 0.0018    | 0.3398    | 0.3374    |
268     | 3        | 3.0       | 0.0018    | 0.3398    | 0.3375    |
269     | 130      | 58990.6   | 0.0018    | 0.3401    | 0.3377    |
270     | 125      | -32.6877  | 0.0018    | 0.3401    | 0.3377    |
271     | 129      | 35.6      | 0.0018    | 0.3401    | 0.3377    |
272     | 113      | -29.3383  | 0.0018    | 0.3401    | 0.3377    |
273     | 117      | -13.8204  | 0.0018    | 0.3401    | 0.3378    |
274     | 132      | 26.3      | 0.0018    | 0.3398    | 0.3377    |
275     | 115      | -32.0689  | 0.0018    | 0.3398    | 0.3377    |
276     | 107      | 19.5228   | 0.0018    | 0.3399    | 0.3376    |
277     | 110      | 44.6966   | 0.0018    | 0.3399    | 0.3376    |
278     | 3        | 3.0       | 0.0018    | 0.3399    | 0.3376    |
279     | 80       | 219.3287  | 0.0018    | 0.34      | 0.3376    |
280     | 2        | 2.8       | 0.0018    | 0.34      | 0.3376    |
281     | 115      | -32.0689  | 0.0018    | 0.34      | 0.3376    |
282     | 117      | -13.8204  | 0.0018    | 0.34      | 0.3376    |
283     | 109      | 21.6595   | 0.0018    | 0.3399    | 0.3377    |
284     | 125      | -32.6877  | 0.0017    | 0.3399    | 0.3377    |
285     | 110      | 44.6966   | 0.0017    | 0.3399    | 0.3376    |
286     | 129      | 35.6      | 0.0017    | 0.34      | 0.3376    |
287     | 3        | 3.0       | 0.0017    | 0.34      | 0.3377    |
288     | 2        | 2.8       | 0.0017    | 0.34      | 0.3377    |
289     | 59       | 0.24      | 0.0017    | 0.3401    | 0.3378    |
290     | 115      | -32.0689  | 0.0017    | 0.3401    | 0.3378    |
291     | 117      | -13.8204  | 0.0017    | 0.3402    | 0.3377    |
292     | 80       | 219.3287  | 0.0017    | 0.3401    | 0.3377    |
293     | 113      | -29.3383  | 0.0017    | 0.3402    | 0.3377    |
294     | 110      | 44.6966   | 0.0017    | 0.3401    | 0.3377    |
295     | 115      | -32.0689  | 0.0017    | 0.3401    | 0.3377    |
296     | 2        | 2.8       | 0.0017    | 0.3402    | 0.3376    |
297     | 117      | -13.8204  | 0.0017    | 0.3402    | 0.3376    |
298     | 3        | 3.0       | 0.0017    | 0.3402    | 0.3377    |
299     | 115      | -32.0689  | 0.0017    | 0.3402    | 0.3377    |
300     | 115      | -16.0345  | 0.0017    | 0.3403    | 0.3376    |
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3401
NDCG@10 on validation data: 0.3378
---------------------------------
NDCG@10 on test data: 0.3345

Model saved to: mymodel-rankboost.txt
